record_id,first_name,surname,full_name,email,address,phone_number,date_of_birth,uk_nino,pan_number,uk_sort_code,uk_account_number,uk_iban,merchant_name,merchant_types,latitude,longitude,is_open,price_level,place_id,data_source,original_record_id
1,Tristan,McDonnell,Tristan McDonnell,james.murray.mp@pearl-investments.com,"1 Overcliffe, Gravesend DA11 0EF, UK",+44 7732733872,23/03/1989,AY 90 96 31 B,342472332403418,63-87-24,36295452,GB67ABCD63872436295452,General Location,point_of_interest|establishment,,,,,,mplist_650,1
2,Richard,Gethins,Richard Gethins,jess.brownfuller.mp@mindbridge-learning.com,"Leigh Road, Eastleigh, Hampshire SO50 9FH, United Kingdom",+44 7934367729,1947-06-01,CL 16 38 67 C,4615371572904481,01-76-80,30485791,GB89ABCD01768030485791,General Location,point_of_interest|establishment,,,,,,mplist_650,2
3,Ian,Trickett,Ian Trickett,sally.jameson.mp@tradeworks.org,"85 London Rd, Southend-on-Sea SS1 1PA, UK",07469376356,18-05-1962,CK 83 84 00 C,347712482220807,61-07-60,17316295,GB64ABCD61076017316295,General Location,point_of_interest|establishment,,,,,,mplist_650,3
4,Harriett,Hurley,Harriett Hurley,liz.kendall.mp@datafusion.net,"207-211 Commercial Rd, Portsmouth PO1 4BJ, UK",+44 7335161433,17/03/1955,BE 66 72 89 C,5306983163606051,41-19-62,8264604,GB78ABCD41196208264604,General Location,point_of_interest|establishment,,,,,,mplist_650,4
5,Mary,Pitcher,Mary Pitcher,graham.leadbitter.mp@medcare-solutions.com,"Dee Ln, Llangollen LL20 8PN, UK",+44 7047598936,05/10/1991,BH 46 23 22 D,4263472329272575,12-96-63,16789360,GB50ABCD12966316789360,General Location,point_of_interest|establishment,,,,,,mplist_650,5
6,Dan,Smith,Dan Smith,rushanara.ali.mp@wellness-partners.co.uk,"52 High St, Southend-on-Sea SS1 1JG, UK",07851125245,23 November 1985,BM 04 11 73 D,5251575878886927,65-52-33,31985912,GB19ABCD65523331985912,General Location,point_of_interest|establishment,,,,,,mplist_650,6
7,Lee,Tami,Lee Tami,chris.hinchliff.mp@riverside-partners.org,"31 St Cuthbert St, Wells BA5 2AW, UK",07316700615,16/11/1947,AP 90 14 07 A,345692843674599,60-24-84,76185196,GB13ABCD60248476185196,General Location,point_of_interest|establishment,,,,,,mplist_650,7
8,Dan,Franklin,Dan Franklin,steve.darling.mp@live.com,"23 Halifax Rd, Brierfield, Nelson BB9 5BG, UK",07412885326,02-02-1952,AT 01 38 56 C,5955386050799250,98-23-91,89351970,GB43ABCD98239189351970,General Location,point_of_interest|establishment,,,,,,mplist_650,8
9,Kevin,Carden,Kevin Carden,fabian.hamilton.mp@sterling-solutions.net,"257 Farnham Rd, Slough SL2 1HA, UK",+44 7259203475,18/07/1961,AA 05 88 54 D,5223717395549868,07-32-56,91726083,GB83ABCD07325691726083,General Location,point_of_interest|establishment,,,,,,mplist_650,9
10,David,Anderson,David Anderson,patrick.hurley.mp@yandex.com,"2 Pant Rd, Dowlais, Merthyr Tydfil CF48 3SH, UK",+44 7673751446,27-11-1983,AR 21 09 35 B,5153248946656912,39-93-18,120878,GB25ABCD39931800120878,General Location,point_of_interest|establishment,,,,,,mplist_650,10
11,Ellie,Dixon,Ellie Dixon,matthew.patrick.mp@pixelcraft.net,"Shripney Rd, Bognor Regis PO22 9TR, UK",+44 7658719889,09 June 1994,CL 23 00 56 C,4986790840906186,45-77-99,43501923,GB13ABCD45779943501923,General Location,point_of_interest|establishment,,,,,,mplist_650,11
12,Calum,Shanker,Calum Shanker,ellie.chowns.mp@cyberflow.co.uk,"Luker Rd, Southend-on-Sea SS1 1LH, UK",+44 7877165934,17 September 1960,AX 55 39 33 B,342731746197408,70-04-22,86121505,GB16ABCD70042286121505,General Location,point_of_interest|establishment,,,,,,mplist_650,12
13,Jon,Lammy,Jon Lammy,chris.vince.mp@datafusion.net,"53 Tylacelyn Rd, Tonypandy CF40 1JU, UK",07555657252,1985-10-23,AK 68 25 49 C,4263775687494676,58-87-15,40558521,GB98ABCD58871540558521,General Location,point_of_interest|establishment,,,,,,mplist_650,13
14,Preet Kaur,Nichols,Preet Kaur Nichols,jonathan.davies.mp@creativehub.org,"5 Kingsmead Way, Clapton, London E9 5QG, UK",+44 7002141341,16/10/2000,BL 54 27 63 A,340410273604108,29-27-27,64821516,GB29ABCD29272764821516,General Location,point_of_interest|establishment,,,,,,mplist_650,14
15,Ashley,Dean,Ashley Dean,kate.osamor.mp@carepoint-medical.co.uk,"Telford Way Ind. Estate, 3 Vernon Court, Henson Way, Kettering NN16 8PX, United Kingdom",+44 7835903410,07-05-1997,AT 74 49 67 B,4335280111127415,72-30-74,40540838,GB89ABCD72307440540838,General Location,point_of_interest|establishment,,,,,,mplist_650,15
16,Gregor,Cane,Gregor Cane,joani.reid.mp@protonmail.com,"Michael Robbins Way, Raunds, Ringstead, Wellingborough NN9 6GR, UK",+44 7478388215,21 March 1993,CB 14 70 56 C,348020339871366,56-44-00,94276698,GB38ABCD56440094276698,General Location,point_of_interest|establishment,,,,,,mplist_650,16
17,Andrew,Mohamed,Andrew Mohamed,andrew.pakes.mp@tutanota.com,"22-24 Queens Dr, Liverpool L15 7NE, UK",+44 7976659990,1968-11-12,CK 22 26 14 A,5655597206574864,18-54-90,43221974,GB57ABCD18549043221974,General Location,point_of_interest|establishment,,,,,,mplist_650,17
18,Tracy,Freeman,Tracy Freeman,colum.eastwood.mp@yahoo.com,"84 S Ealing Rd, Ealing, London W5 4QB, UK",+44 7617915425,16-04-1956,AT 53 81 00 C,4101401284667288,29-91-56,52214980,GB40ABCD29915652214980,General Location,point_of_interest|establishment,,,,,,mplist_650,18
19,Emily,Bowie,Emily Bowie,sian.berry.mp@cyberflow.co.uk,"8 Market St, Winterton, Scunthorpe DN15 9PT, UK",+44 7640189447,1997-09-01,AS 73 62 13 C,5251746723075317,48-31-22,17842391,GB51ABCD48312217842391,General Location,point_of_interest|establishment,,,,,,mplist_650,19
20,Jonathan,Smart,Jonathan Smart,steff.aquarone.mp@blackstone-advisory.net,"28 High St, Wendover, Aylesbury HP22 6EA, UK",+44 7699156919,31/08/1952,AB 45 70 22 A,4118452167051891,85-84-08,91242160,GB74ABCD85840891242160,General Location,point_of_interest|establishment,,,,,,mplist_650,20
21,Helen,Duncan Smith,Helen Duncan Smith,matt.rodda.mp@intellilearn.co.uk,"25-27 Palmerston Rd, Portsmouth, Southsea PO5 3QQ, UK",+44 7865515362,26/07/1971,CE 17 97 54 A,341507987991246,15-59-69,66350059,GB37ABCD15596966350059,General Location,point_of_interest|establishment,,,,,,mplist_650,21
22,Bill,Campbell,Bill Campbell,grahame.morris.mp@hushmail.com,"Llewellyn St, Pentre CF41 7BW, UK",07711540256,1970-02-20,BA 14 42 98 B,4737426966801720,22-28-42,12611139,GB11ABCD22284212611139,General Location,point_of_interest|establishment,,,,,,mplist_650,22
23,Christine,Bacon,Christine Bacon,rupa.huq.mp@mailfence.com,"133 Sandgate Rd, Folkestone CT20 2BL, UK",07822341315,1986-10-18,AM 72 77 79 C,348892494598063,42-66-75,30699419,GB28ABCD42667530699419,General Location,point_of_interest|establishment,,,,,,mplist_650,23
24,Valerie,Coleman,Valerie Coleman,preet.gill.mp@techforge-industries.com,"79-81 Monaghan St, Newry BT35 6AY, UK",+44 7816115905,20/08/2000,BA 92 23 99 B,341035301249973,19-77-14,61606238,GB64ABCD19771461606238,General Location,point_of_interest|establishment,,,,,,mplist_650,24
25,Richard,Eshalomi,Richard Eshalomi,sarah.jones.mp@fastmail.com,"34 North St, Worthing BN11 1DU, UK",+44 7075343696,16 May 1995,AE 87 92 76 A,4978105784577978,00-27-99,77312275,GB29ABCD00279977312275,General Location,point_of_interest|establishment,,,,,,mplist_650,25
26,Stephen,Duffield,Stephen Duffield,johanna.baxter.mp@blueyonder.co.uk,"64 Saddler St, Durham DH1 3PG, UK",07040759700,15/03/1982,AA 69 30 77 B,348276266019273,18-29-54,61035265,GB66ABCD18295461035265,General Location,point_of_interest|establishment,,,,,,mplist_650,26
