record_id,first_name,surname,full_name,email,address,phone_number,date_of_birth,uk_nino,pan_number,uk_sort_code,uk_account_number,uk_iban,data_version,data_source,original_record_id,address_first_line,address_town_city,address_postcode,address_corruption_type,place_name_corruption,card_number_corruption,first_name_corruption,last_name_corruption,email_domain_corruption,phone_corruption,date_corruption,nino_corruption
1,Tristan,McDonnell,Tristan McDonnell,james.murray.mp@pearl-investments.com,"1 Overcliffe, Gravesend DA11 0EF, UK",+44 7732733872,23/03/1989,AY 90 96 31 B,342472332403418,63-87-24,36295452,GB67ABCD63872436295452,clean,mplist_650,1,1 Overcliffe,Gravesend,DA11 0EF,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
2,Richard,Gethins,Richard Gethins,jess.brownfuller.mp@mindbridge-learning.com,"Leigh Road, Eastleigh, Hampshire SO50 9FH, United Kingdom",+44 7934367729,1947-06-01,CL 16 38 67 C,4615371572904481,01-76-80,30485791,GB89ABCD01768030485791,clean,mplist_650,2,Leigh Road,Hampshire,SO50 9FH,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
3,Ian,Trickett,Ian Trickett,sally.jameson.mp@tradeworks.org,"85 London Rd, Southend-on-Sea SS1 1PA, UK",07469376356,18-05-1962,CK 83 84 00 C,347712482220807,61-07-60,17316295,GB64ABCD61076017316295,clean,mplist_650,3,85 London Rd,Southend-on-Sea,SS1 1PA,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
4,Harriett,Hurley,Harriett Hurley,liz.kendall.mp@datafusion.net,"207-211 Commercial Rd, Portsmouth PO1 4BJ, UK",+44 7335161433,17/03/1955,BE 66 72 89 C,5306983163606051,41-19-62,8264604,GB78ABCD41196208264604,clean,mplist_650,4,207-211 Commercial Rd,Portsmouth,PO1 4BJ,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
5,Mary,Pitcher,Mary Pitcher,graham.leadbitter.mp@medcare-solutions.com,"Dee Ln, Llangollen LL20 8PN, UK",+44 7047598936,05/10/1991,BH 46 23 22 D,4263472329272575,12-96-63,16789360,GB50ABCD12966316789360,clean,mplist_650,5,Dee Ln,Llangollen,LL20 8PN,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
6,Dan,Smith,Dan Smith,rushanara.ali.mp@wellness-partners.co.uk,"52 High St, Southend-on-Sea SS1 1JG, UK",07851125245,23 November 1985,BM 04 11 73 D,5251575878886927,65-52-33,31985912,GB19ABCD65523331985912,clean,mplist_650,6,52 High St,Southend-on-Sea,SS1 1JG,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
7,Lee,Tami,Lee Tami,chris.hinchliff.mp@riverside-partners.org,"31 St Cuthbert St, Wells BA5 2AW, UK",07316700615,16/11/1947,AP 90 14 07 A,345692843674599,60-24-84,76185196,GB13ABCD60248476185196,clean,mplist_650,7,31 St Cuthbert St,Wells,BA5 2AW,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
8,Dan,Franklin,Dan Franklin,steve.darling.mp@live.com,"23 Halifax Rd, Brierfield, Nelson BB9 5BG, UK",07412885326,02-02-1952,AT 01 38 56 C,5955386050799250,98-23-91,89351970,GB43ABCD98239189351970,clean,mplist_650,8,23 Halifax Rd,Nelson,BB9 5BG,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
9,Kevin,Carden,Kevin Carden,fabian.hamilton.mp@sterling-solutions.net,"257 Farnham Rd, Slough SL2 1HA, UK",+44 7259203475,18/07/1961,AA 05 88 54 D,5223717395549868,07-32-56,91726083,GB83ABCD07325691726083,clean,mplist_650,9,257 Farnham Rd,Slough,SL2 1HA,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
10,David,Anderson,David Anderson,patrick.hurley.mp@yandex.com,"2 Pant Rd, Dowlais, Merthyr Tydfil CF48 3SH, UK",+44 7673751446,27-11-1983,AR 21 09 35 B,5153248946656912,39-93-18,120878,GB25ABCD39931800120878,clean,mplist_650,10,2 Pant Rd,Merthyr Tydfil,CF48 3SH,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
